,1000,False
6239911,846,False
6239912,833,False
6239913,806,False
6239915,800,False
6239916,754,False
6239917,545,False
6239918,499,False
6239919,484,False
6239922,137,False
6239925,72,False
6317303,936,False
6317305,811,False
6317308,640,False
6317309,587,False
6317310,518,False
6317311,463,False
6317312,432,False
6317314,351,False
6317315,336,False
6317316,284,False
6317317,249,False
6317319,121,False
6370749,990,False
6370750,982,False
6370752,900,False
6370753,838,False
6370759,782,False
6370760,687,False
6370761,666,False
6370763,585,False
6370765,523,False
6370766,475,False
6370769,356,False
6370770,332,False
6370771,303,False
6370772,259,False
6370773,192,False
6370785,27,False
6447429,879,False
6447430,844,False
6447439,801,False
6447441,536,False
6447442,506,False
6447443,473,False
6447444,436,False
6447445,374,False
6447446,310,False
6447447,294,False
6447448,219,False
6447449,173,False
6447454,55,False
6535137,955,False
6535138,940,False
6535142,903,False
6535143,883,False
6535144,872,False
6535145,865,False
6535148,671,False
6535151,605,False
6535152,592,False
6535153,503,False
6535154,496,False
6535155,477,False
6535159,327,False
6535160,241,False
6535161,201,False
6535166,118,False
6535170,62,False
6612342,986,False
6612343,963,False
6612344,928,False
6612345,914,False
6612352,718,False
6612354,622,False
6612355,574,False
6612356,539,False
6612357,527,False
6612359,450,False
6612360,378,False
6612361,264,False
6612362,183,False
6612367,105,False
6688777,896,False
6688778,863,False
6688782,773,False
6688785,498,False
6688787,133,False
6688792,101,False
6688800,19,False
6743223,857,False
6743226,488,False
6743227,389,False
6743228,149,False
6743229,134,False
6743234,95,False
6743242,13,False
6820350,956,False
6820351,941,False
6820352,932,False
6820353,884,False
6820354,873,False
6820355,864,False
6820359,646,False
6820361,606,False
6820362,593,False
6820363,504,False
6820364,495,False
6820369,401,False
6820370,328,False
6820371,242,False
6820372,132,False
6820380,100,False
6820381,91,False
6820382,63,False
6820393,20,False
6885875,952,False
6885876,870,False
6885878,707,False
6885879,689,False
6885881,643,False
6885882,608,False
6885883,562,False
6885886,411,False
6885887,345,False
6885888,342,False
6885889,278,False
6885897,75,False
